#  Scan CV
#  Measurement Settings:
#  Power supply voltage limit:      2.10E+01 V
#  Power supply current limit:      5.00E-04 A
#  LCR measurement voltage:         5.01E-01 V
#  LCR measurement frequency:          5E+04 Hz
#  Voltage Delay:                      20.00 s
#  Channel Delay:                       0.20 s
#  Probecard temperature:               -1.0 C
#  Switchcard temperature:              24.4 C
#  Switchcard measurement setting:  CV
#  Switchcard display setting:      OFF
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Channel [-]	R [kOhm]	R_Err [kOhm]	X [kOhm]	X_Err [kOhm]	C [pF]	Total Current [A]
# 
0.00000E+00	8.54667E-06	1.00000E+00	1.01118E+05	3.47885E+01	-5.27328E+04	2.20784E+01	6.03628E+01	-3.70301E-09
0.00000E+00	9.30155E-06	2.00000E+00	9.99345E+04	3.97317E+01	-5.16283E+04	3.61712E+01	6.16541E+01	-3.79968E-09
0.00000E+00	9.04437E-06	3.00000E+00	9.84134E+04	3.61714E+01	-5.07701E+04	1.55592E+01	6.26963E+01	-4.39935E-09
0.00000E+00	1.00149E-05	4.00000E+00	9.52937E+04	2.28060E+01	-4.81058E+04	3.18396E+01	6.61687E+01	-3.64326E-09
0.00000E+00	9.62505E-06	5.00000E+00	1.01548E+05	2.17403E+01	-5.28313E+04	3.24293E+01	6.02502E+01	-3.51218E-09
0.00000E+00	1.06288E-05	6.00000E+00	1.01083E+05	3.99079E+01	-5.24815E+04	3.24483E+01	6.06518E+01	-2.53034E-09
0.00000E+00	1.04961E-05	7.00000E+00	1.00194E+05	2.92985E+01	-5.20291E+04	3.21245E+01	6.11792E+01	-4.20873E-09
0.00000E+00	1.02804E-05	8.00000E+00	9.74053E+04	3.10268E+01	-5.01575E+04	1.37391E+01	6.34620E+01	-3.82096E-09
0.00000E+00	1.04048E-05	9.00000E+00	9.72103E+04	2.52999E+01	-4.99465E+04	2.31754E+01	6.37301E+01	-4.52609E-09
0.00000E+00	1.07449E-05	1.00000E+01	9.70431E+04	1.82844E+01	-4.93492E+04	2.61680E+01	6.45015E+01	-6.53295E-09
0.00000E+00	9.80756E-06	1.10000E+01	9.54329E+04	2.36470E+01	-4.80530E+04	1.76541E+01	6.62414E+01	-3.56131E-09
0.00000E+00	1.03302E-05	1.20000E+01	9.54631E+04	2.40816E+01	-4.81636E+04	2.19222E+01	6.60893E+01	-3.83674E-09
0.00000E+00	9.36792E-06	1.30000E+01	9.68108E+04	2.64637E+01	-4.92937E+04	2.34331E+01	6.45742E+01	-4.10891E-09
0.00000E+00	9.77438E-06	1.40000E+01	9.65304E+04	4.42864E+01	-4.93091E+04	2.25004E+01	6.45540E+01	-6.10036E-09
0.00000E+00	9.33473E-06	1.50000E+01	9.75631E+04	3.11271E+01	-5.01470E+04	2.93059E+01	6.34754E+01	-1.50339E-09
0.00000E+00	9.43430E-06	1.60000E+01	9.21408E+04	1.78991E+01	-4.61675E+04	1.53750E+01	6.89468E+01	-3.08866E-09
0.00000E+00	9.51724E-06	1.70000E+01	9.40603E+04	1.20901E+01	-4.74896E+04	3.24229E+01	6.70273E+01	-3.93459E-09
0.00000E+00	1.00399E-05	1.80000E+01	9.93708E+04	3.02973E+01	-5.15549E+04	4.06542E+01	6.17420E+01	-3.00885E-09
0.00000E+00	1.06371E-05	1.90000E+01	9.69320E+04	3.11187E+01	-4.95667E+04	1.10554E+01	6.42185E+01	-3.16033E-09
0.00000E+00	8.24807E-06	2.00000E+01	9.43161E+04	2.63156E+01	-4.71672E+04	2.28000E+01	6.74855E+01	-4.06034E-09
0.00000E+00	9.45916E-06	2.10000E+01	1.01516E+05	2.67013E+01	-5.28220E+04	3.43839E+01	6.02609E+01	-3.57922E-09
0.00000E+00	9.81587E-06	2.20000E+01	9.59234E+04	2.51188E+01	-4.83748E+04	1.32187E+01	6.58007E+01	-3.86187E-09
0.00000E+00	9.40941E-06	2.30000E+01	9.49929E+04	2.81765E+01	-4.78424E+04	2.15192E+01	6.65330E+01	-3.62678E-09
0.00000E+00	9.29327E-06	2.40000E+01	9.44776E+04	2.64439E+01	-4.77210E+04	3.40183E+01	6.67022E+01	-3.61374E-09
0.00000E+00	9.98178E-06	2.50000E+01	9.33685E+04	2.11925E+01	-4.69711E+04	2.76270E+01	6.77672E+01	-3.34494E-09
0.00000E+00	1.04712E-05	2.60000E+01	9.58590E+04	2.92434E+01	-4.90795E+04	1.71298E+01	6.48560E+01	-3.10468E-09
0.00000E+00	9.99009E-06	2.70000E+01	9.25285E+04	1.96996E+01	-4.63762E+04	2.21076E+01	6.86365E+01	-3.43368E-09
0.00000E+00	1.11348E-05	2.80000E+01	9.53385E+04	2.17134E+01	-4.83981E+04	2.67453E+01	6.57691E+01	-3.82026E-09
0.00000E+00	1.00813E-05	2.90000E+01	9.58614E+04	2.75918E+01	-4.89411E+04	1.41710E+01	6.50393E+01	-3.53995E-09
0.00000E+00	9.31814E-06	3.00000E+01	9.53383E+04	2.14183E+01	-4.85041E+04	2.49594E+01	6.56254E+01	-3.31386E-09
0.00000E+00	1.07118E-05	3.10000E+01	9.94780E+04	2.62354E+01	-5.12638E+04	2.63897E+01	6.20925E+01	-3.38673E-09
0.00000E+00	1.05127E-05	3.20000E+01	9.38745E+04	2.61166E+01	-4.66939E+04	2.04752E+01	6.81695E+01	-3.40600E-09
0.00000E+00	1.00979E-05	3.30000E+01	9.59271E+04	2.46812E+01	-4.83755E+04	2.99253E+01	6.57998E+01	-2.94993E-09
0.00000E+00	1.04297E-05	3.40000E+01	9.46539E+04	3.91086E+01	-4.74259E+04	1.15313E+01	6.71173E+01	-3.61692E-09
0.00000E+00	1.00481E-05	3.50000E+01	9.50013E+04	1.75393E+01	-4.80069E+04	3.18542E+01	6.63050E+01	-3.19549E-09
