#Measurement:		CV
#Sensor type:		HPK_6in_256
#Invert polarity:		0
#Needle measurement:	0
#Identifier:		open_correction_small_steps
#Timestamp:		2.8.2017 21:17 
#Voltage delay:		20.0 s
#Switch delay:		0.3 s
#Compliance level:		0.00 uA
#Voltage limit:		1000.0 V
#LCR freq.:		50000 Hz
#LCR voltg.:		0.50 V
#Repeat:			1
#Sampling number:		3
#Source as DMM:		0
#Custom channels:		
#VISA source:		Source_2410
#VISA DMM:		KEITHLEY_6487
#VISA LCR:		LCR_E4980
#HexPlot cmd:		HexPlot.exe -i "C:\Users\Administrator\cernbox\HGCAL test results\Data\HPK_6in_256_open_correction_small_steps\HPK_6in_256_open_correction_small_steps_CV.txt" -o  "C:\Users\Administrator\cernbox\HGCAL test results\Data\HPK_6in_256_open_correction_small_steps\HPK_6in_256_open_correction_small_steps_CV.pdf" -CV  -p HEX -ys 1  -select -250  -if SELECTOR:PADNUM:VAL -pn 0  -g "C:\Users\Administrator\Desktop\HGCAL_sensor_tests\geo\hex_positions_HPK_256ch_6inch_testcap.txt"
#HexPlot on matrix cmd:	HexPlot.exe -i "C:\Users\Administrator\cernbox\HGCAL test results\Data\HPK_6in_256_open_correction_small_steps\HPK_6in_256_open_correction_small_steps_CV.txt" -o  "C:\Users\Administrator\cernbox\HGCAL test results\Data\HPK_6in_256_open_correction_small_steps\HPK_6in_256_open_correction_small_steps_CV.pdf" -CV  -p HEX -ys 1  -select -250  -if SELECTOR:PADNUM:VAL -pn 0  -g "C:\Users\Administrator\Desktop\HGCAL_sensor_tests\geo\switch_matrix.txt" -m "C:\Users\Administrator\Desktop\HGCAL_sensor_tests\maps\Probe_card_HPK_6in_256ch.txt" 
#Comments:		

#Voltage	#Channel	#Cp        	#Error      	#Tot. curr.	#Act. vlt.	#Time   	#Temp	#Hum.	#Cs        	#Error     	#Impedance 	#Error      	#Phase      	#Error     	#Cp uncorr.	#Cs uncorr.
#[V]    	#       	#[pF]      	#[pF]       	#[nA]      	#[V]      	#[s]    	#[C] 	#[%] 	#[pF]      	#[pF]      	#[Ohm]     	#[Ohm]      	#[Rad]      	#[Rad]     	#[pF]      	#[pF]      
0.0     	1       	4.164722E+1	1.439333E-7 	1.49E-1    	0.00      	20.83   	22.8 	46.6 	5.334579E+1	1.406467E-3	6.753160E+4	1.178983E+0 	-1.083440E+0	1.732051E-5	4.164722E+1	5.334579E+1
0.0     	2       	4.121017E+1	1.131053E-6 	3.28E-1    	0.00      	23.65   	22.8 	46.6 	5.261623E+1	6.929402E-4	6.835780E+4	5.291503E-1 	-1.086490E+0	3.605551E-5	4.121017E+1	5.261623E+1
0.0     	3       	4.073735E+1	7.642830E-7 	4.18E-1    	0.00      	25.91   	22.8 	46.6 	5.198793E+1	1.115673E-3	6.916757E+4	1.484363E+0 	-1.086940E+0	0.000000E+0	4.073735E+1	5.198793E+1
0.0     	4       	4.431648E+1	1.503058E-6 	2.58E-1    	0.00      	28.16   	22.8 	46.6 	5.750822E+1	1.039779E-3	6.305253E+4	1.418920E+0 	-1.071343E+0	1.154701E-5	4.431648E+1	5.750822E+1
0.0     	5       	4.199979E+1	1.062122E-8 	1.46E-1    	0.00      	30.41   	22.8 	46.6 	5.390419E+1	8.341416E-4	6.689833E+4	5.033223E-1 	-1.081573E+0	1.527525E-5	4.199979E+1	5.390419E+1
0.0     	6       	4.321685E+1	3.029294E-7 	-2.41E-1   	0.00      	32.65   	22.8 	46.6 	5.575569E+1	9.930849E-4	6.484537E+4	8.504901E-1 	-1.076713E+0	1.527525E-5	4.321685E+1	5.575569E+1
0.0     	7       	4.370258E+1	3.986637E-7 	1.17E-3    	0.00      	34.90   	22.8 	46.6 	5.658332E+1	5.533874E-4	6.401067E+4	7.637626E-1 	-1.073423E+0	5.773503E-6	4.370258E+1	5.658332E+1
0.0     	8       	4.476318E+1	5.107013E-7 	-4.65E-2   	0.00      	37.15   	22.8 	46.6 	5.824938E+1	7.253802E-4	6.233673E+4	7.234178E-1 	-1.068807E+0	1.527525E-5	4.476318E+1	5.824938E+1
0.0     	9       	4.309631E+1	1.337735E-8 	-4.03E-2   	0.00      	39.41   	22.8 	46.6 	5.565136E+1	1.166037E-3	6.499683E+4	7.571878E-1 	-1.075860E+0	1.732051E-5	4.309631E+1	5.565136E+1
0.0     	10      	4.451637E+1	1.091483E-7 	3.96E-1    	0.00      	41.65   	22.8 	46.6 	5.790512E+1	8.086688E-4	6.269483E+4	6.110101E-1 	-1.069170E+0	1.000000E-5	4.451637E+1	5.790512E+1
