#
#THIS IS AN EXAMPLE GROMETRY FILE
#
#draws all available cell shapes
#
#padnumber	xposition	yposition	size	type	rotation

1	-5	5	0.5	0	0
2	-4	5	0.5	1	0
3	-3	5	0.5	2	0
4	-2	5	0.5	3	0
5	-1	5	0.5	4	0
6	0	5	0.5	5	0
7	1	5	0.5	6	0
8	2	5	0.5	7	0
9	3	5	0.5	8	0
10	4	5	0.5	9	0
11	5	5	0.5	10	0
12	-5	3	0.5	11	0
13	-4	3	0.5	12	0
14	-3	3	0.5	13	0
15	-2	3	0.5	14	0
16	-1	3	0.5	15	0
17	0	3	0.5	16	0
18	1	3	0.5	17	0
19	2	3	0.5	18	0
20	3	3	0.5	19	0
21	4	3	0.5	20	0
22	5	3	0.5	21	0
23	-5	1	0.5	22	0
24	-4	1	0.5	23	0
