#
# This is an automatically generated geo file
# Script: ../create_regular_geofile.py
#
# draws all available cell shapes
#
# padnumber	xposition	yposition	size	type	rotation


1	-2.6	6.6	0.4	22	90
2	-1.85	6.6	0.4	22	90
3	-1.1	6.6	0.4	22	90
4	-0.3500000000000001	6.6	0.4	22	90
5	0.3999999999999999	6.6	0.4	22	90
6	1.1500000000000004	6.6	0.4	22	90
7	1.9000000000000004	6.6	0.4	22	90
8	2.6500000000000004	6.6	0.4	22	90
9	-3.725	5.824999999999999	0.4	22	150
10	-2.975	5.824999999999999	0.4	0	0
11	-2.225	5.824999999999999	0.4	0	0
12	-1.475	5.824999999999999	0.4	0	0
13	-0.7250000000000001	5.824999999999999	0.4	0	0
14	0.025000000000000355	5.824999999999999	0.4	0	0
15	0.7750000000000004	5.824999999999999	0.4	0	0
16	1.5250000000000004	5.824999999999999	0.4	0	0
17	2.2750000000000004	5.824999999999999	0.4	0	0
18	3.0250000000000004	5.824999999999999	0.4	0	0
19	3.7750000000000004	5.824999999999999	0.4	22	30
20	-4.1	5.049999999999999	0.4	22	150
21	-3.35	5.049999999999999	0.4	0	0
22	-2.6	5.049999999999999	0.4	0	0
23	-1.85	5.049999999999999	0.4	0	0
24	-1.1	5.049999999999999	0.4	0	0
25	-0.34999999999999964	5.049999999999999	0.4	0	0
26	0.40000000000000036	5.049999999999999	0.4	0	0
27	1.1500000000000004	5.049999999999999	0.4	0	0
28	1.9000000000000004	5.049999999999999	0.4	0	0
29	2.6500000000000004	5.049999999999999	0.4	0	0
30	3.4000000000000004	5.049999999999999	0.4	0	0
31	4.15	5.049999999999999	0.4	22	30
32	-4.475	4.274999999999999	0.4	22	150
33	-3.725	4.274999999999999	0.4	0	0
34	-2.975	4.274999999999999	0.4	0	0
35	-2.225	4.274999999999999	0.4	0	0
36	-1.475	4.274999999999999	0.4	0	0
37	-0.7249999999999996	4.274999999999999	0.4	0	0
38	0.025000000000000355	4.274999999999999	0.4	0	0
39	0.7750000000000004	4.274999999999999	0.4	0	0
40	1.5250000000000004	4.274999999999999	0.4	0	0
41	2.2750000000000004	4.274999999999999	0.4	0	0
42	3.0250000000000004	4.274999999999999	0.4	0	0
43	3.7750000000000004	4.274999999999999	0.4	0	0
44	4.525	4.274999999999999	0.4	22	30
45	-4.85	3.4999999999999987	0.4	22	150
46	-4.1	3.4999999999999987	0.4	0	0
47	-3.35	3.4999999999999987	0.4	0	0
48	-2.6	3.4999999999999987	0.4	0	0
49	-1.85	3.4999999999999987	0.4	0	0
50	-1.0999999999999996	3.4999999999999987	0.4	0	0
51	-0.34999999999999964	3.4999999999999987	0.4	0	0
52	0.40000000000000036	3.4999999999999987	0.4	0	0
53	1.1500000000000004	3.4999999999999987	0.4	0	0
54	1.9000000000000004	3.4999999999999987	0.4	0	0
55	2.6500000000000004	3.4999999999999987	0.4	0	0
56	3.4000000000000004	3.4999999999999987	0.4	0	0
57	4.15	3.4999999999999987	0.4	0	0
58	4.9	3.4999999999999987	0.4	22	30
59	-5.225	2.7249999999999988	0.4	22	150
60	-4.475	2.7249999999999988	0.4	0	0
61	-3.725	2.7249999999999988	0.4	0	0
62	-2.975	2.7249999999999988	0.4	0	0
63	-2.225	2.7249999999999988	0.4	0	0
64	-1.4749999999999996	2.7249999999999988	0.4	0	0
65	-0.7249999999999996	2.7249999999999988	0.4	0	0
66	0.025000000000000355	2.7249999999999988	0.4	0	0
67	0.7750000000000004	2.7249999999999988	0.4	0	0
68	1.5250000000000004	2.7249999999999988	0.4	0	0
69	2.2750000000000004	2.7249999999999988	0.4	0	0
70	3.0250000000000004	2.7249999999999988	0.4	0	0
71	3.7750000000000004	2.7249999999999988	0.4	0	0
72	4.525	2.7249999999999988	0.4	0	0
73	5.275	2.7249999999999988	0.4	22	30
74	-5.6	1.9499999999999988	0.4	22	150
75	-4.85	1.9499999999999988	0.4	0	0
76	-4.1	1.9499999999999988	0.4	0	0
77	-3.35	1.9499999999999988	0.4	0	0
78	-2.6	1.9499999999999988	0.4	0	0
79	-1.8499999999999996	1.9499999999999988	0.4	0	0
80	-1.0999999999999996	1.9499999999999988	0.4	0	0
81	-0.34999999999999964	1.9499999999999988	0.4	0	0
82	0.40000000000000036	1.9499999999999988	0.4	0	0
83	1.1500000000000004	1.9499999999999988	0.4	0	0
84	1.9000000000000004	1.9499999999999988	0.4	0	0
85	2.6500000000000004	1.9499999999999988	0.4	0	0
86	3.4000000000000004	1.9499999999999988	0.4	0	0
87	4.15	1.9499999999999988	0.4	0	0
88	4.9	1.9499999999999988	0.4	0	0
89	5.65	1.9499999999999988	0.4	22	30
90	-5.975	1.174999999999999	0.4	22	150
91	-5.225	1.174999999999999	0.4	0	0
92	-4.475	1.174999999999999	0.4	0	0
93	-3.725	1.174999999999999	0.4	0	0
94	-2.975	1.174999999999999	0.4	0	0
95	-2.2249999999999996	1.174999999999999	0.4	0	0
96	-1.4749999999999996	1.174999999999999	0.4	0	0
97	-0.7249999999999996	1.174999999999999	0.4	0	0
98	0.025000000000000355	1.174999999999999	0.4	0	0
99	0.7750000000000004	1.174999999999999	0.4	0	0
100	1.5250000000000004	1.174999999999999	0.4	0	0
101	2.2750000000000004	1.174999999999999	0.4	0	0
102	3.0250000000000004	1.174999999999999	0.4	0	0
103	3.7750000000000004	1.174999999999999	0.4	0	0
104	4.525	1.174999999999999	0.4	0	0
105	5.275	1.174999999999999	0.4	0	0
106	6.025	1.174999999999999	0.4	22	30
107	-6.35	0.3999999999999989	0.4	22	150
108	-5.6	0.3999999999999989	0.4	0	0
109	-4.85	0.3999999999999989	0.4	0	0
110	-4.1	0.3999999999999989	0.4	0	0
111	-3.35	0.3999999999999989	0.4	0	0
112	-2.5999999999999996	0.3999999999999989	0.4	0	0
113	-1.8499999999999996	0.3999999999999989	0.4	0	0
114	-1.0999999999999996	0.3999999999999989	0.4	0	0
