#
# This is an automatically generated geo file
# Script: ../bin/create_regular_geofile.py
#
# Draws all available cell shapes
#
# padnumber	xposition	yposition	type	optional


1	-2.08	-6.60	12	SIZE:0.45,X_STRETCH:4.09,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
2	-2.12	-6.40	12	SIZE:0.45,X_STRETCH:4.19,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
3	-2.17	-6.20	12	SIZE:0.45,X_STRETCH:4.28,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
4	-2.21	-6.00	12	SIZE:0.45,X_STRETCH:4.38,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
5	-2.26	-5.80	12	SIZE:0.45,X_STRETCH:4.47,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
6	-2.30	-5.59	12	SIZE:0.45,X_STRETCH:4.56,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
7	-2.35	-5.39	12	SIZE:0.45,X_STRETCH:4.66,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
8	-2.40	-5.19	12	SIZE:0.45,X_STRETCH:4.75,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
9	-2.44	-4.99	12	SIZE:0.45,X_STRETCH:4.84,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
10	-2.49	-4.79	12	SIZE:0.45,X_STRETCH:4.94,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
11	-2.53	-4.59	12	SIZE:0.45,X_STRETCH:5.03,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
12	-2.58	-4.38	12	SIZE:0.45,X_STRETCH:5.12,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
13	-2.62	-4.18	12	SIZE:0.45,X_STRETCH:5.22,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
14	-2.67	-3.98	12	SIZE:0.45,X_STRETCH:5.31,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
15	-2.71	-3.78	12	SIZE:0.45,X_STRETCH:5.41,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
16	-2.76	-3.58	12	SIZE:0.45,X_STRETCH:5.50,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
17	-2.80	-3.38	12	SIZE:0.45,X_STRETCH:5.59,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
18	-2.85	-3.18	12	SIZE:0.45,X_STRETCH:5.69,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
19	-2.89	-2.97	12	SIZE:0.45,X_STRETCH:5.78,Y_STRETCH:0.45,BEND:0.05,ROTATE:12.00
