#
#THIS IS THE GROMETRY FILE FOR THE HEXAGONAL HGCAL WAFER
#
# 8 inch 256 pads
#
#DO NOT MODIFY UNLESS YOU KNOW WHAT YOU ARE DOING
#
#padnumber	xposition	yposition	size	type

#1. row
1	-1.05	6.39	0.39	0
2	-0.35	6.39	0.39	0
3	0.35	6.39	0.39	0
4	1.05	6.39	0.39	0
#2. row
5	-2.1	5.68	0.39	0
6	-1.4	5.68	0.39	0
7	-0.7	5.68	0.39	0
8	0.0	5.68	0.39	0
9	0.7	5.68	0.39	0
10	1.4	5.68	0.39	0
11	2.1	5.68	0.39	0
#3. row
12	-3.15	4.97	0.39	0
13	-2.45	4.97	0.39	0
14	-1.75	4.97	0.39	0
15	-1.05	4.97	0.39	0
16	-0.35	4.97	0.39	0
17	0.35	4.97	0.39	0
18	1.05	4.97	0.39	0
19	1.75	4.97	0.39	0
20	2.45	4.97	0.39	0
21	3.15	4.97	0.39	0
#4. row
22	-4.2	4.26	0.39	0
23	-3.5	4.26	0.39	0
24	-2.8	4.26	0.39	0
25	-2.1	4.26	0.39	0
26	-1.4	4.26	0.39	0
27	-0.7	4.26	0.39	0
28	0.0	4.26	0.39	0
29	0.7	4.26	0.39	0
30	1.4	4.26	0.39	0
31	2.1	4.26	0.39	0
32	2.8	4.26	0.39	0
33	3.5	4.26	0.39	0
34	4.2	4.26	0.39	0
#5. row
35	-4.55	3.55	0.39	0
36	-3.85	3.55	0.39	0
37	-3.15	3.55	0.39	0
38	-2.45	3.55	0.39	0
39	-1.75	3.55	0.39	0
40	-1.05	3.55	0.39	0
41	-0.35	3.55	0.39	0
42	0.35	3.55	0.39	0
43	1.05	3.55	0.39	0
44	1.75	3.55	0.39	0
45	2.45	3.55	0.39	0
46	3.15	3.55	0.39	0
47	3.85	3.55	0.39	0
48	4.55	3.55	0.39	0
#6. row
49	-4.9	2.84	0.39	0
50	-4.2	2.84	0.39	0
51	-3.5	2.84	0.39	0
52	-2.8	2.84	0.39	0
53	-2.1	2.84	0.39	0
54	-1.4	2.84	0.39	0
55	-0.7	2.84	0.39	0
56	0.0	2.84	0.39	4
57	0.0	2.84	0.20	5
58	0.7	2.84	0.39	0
59	1.4	2.84	0.39	0
60	2.1	2.84	0.39	0
61	2.8	2.84	0.39	0
62	3.5	2.84	0.39	0
63	4.2	2.84	0.39	0
64	4.9	2.84	0.39	0
#7. row
65	-5.25	2.13	0.39	0
66	-4.55	2.13	0.39	0
67	-3.85	2.13	0.39	0
68	-3.15	2.13	0.39	0
69	-2.45	2.13	0.39	0
70	-1.75	2.13	0.39	0
71	-1.05	2.13	0.39	0
72	-0.35	2.13	0.39	0
73	0.35	2.13	0.39	0
74	1.05	2.13	0.39	0
75	1.75	2.13	0.39	0
76	2.45	2.13	0.39	0
77	3.15	2.13	0.39	0
78	3.85	2.13	0.39	0
79	4.55	2.13	0.39	0
80	5.25	2.13	0.39	0
#8. row
81	-4.9	1.42	0.39	0
82	-4.2	1.42	0.39	0
83	-3.5	1.42	0.39	0
84	-2.8	1.42	0.39	0
85	-2.1	1.42	0.39	0
86	-1.4	1.42	0.39	0
87	-0.7	1.42	0.39	0
88	0.0	1.42	0.39	0
89	0.7	1.42	0.39	0
90	1.4	1.42	0.39	0
91	2.1	1.42	0.39	0
92	2.8	1.42	0.39	0
93	3.5	1.42	0.39	0
94	4.2	1.42	0.39	0
95	4.9	1.42	0.39	0
#9. row
96	-5.25	0.71	0.39	0
97	-4.55	0.71	0.39	0
98	-3.85	0.71	0.39	0
99	-3.15	0.71	0.39	0
100	-2.45	0.71	0.39	0
