#
#THIS IS THE GROMETRY FILE FOR THE HEAGONAL HGCAL WAFER
#
# HPK 6 inch 136 pads
#
#padnumber	position	yposition	size	type	rotation

1	-0.5	7	0.54	3	-0.00001
2	+0.5	7	0.54	3	0
3	-2	6	0.54	2	120
4	-1	6	0.54	0	0
5	+0	6	0.54	0	0
6	+1	6	0.54	0	0
7	+2	6	0.54	2	60
8	-3.5	5	0.54	2	120
9	-2.5	5	0.54	0	0
10	-1.5	5	0.54	0	0
11	-0.5	5	0.54	0	0
12	+0.5	5	0.54	0	0
13	+1.5	5	0.54	0	0
14	+2.5	5	0.54	0	0
15	+3.5	5	0.54	2	60
16	-5	4	0.54	3	60
17	-4	4	0.54	0	0
18	-3	4	0.54	0	0
19	-2	4	0.54	0	0
20	-1	4	0.54	0	0
21	+0	4	0.54	0	0
22	+1	4	0.54	0	0
23	+2	4	0.54	0	0
24	+3	4	0.54	0	0
25	+4	4	0.54	0	0
26	+5	4	0.54	3	-300
27	-5.5	3	0.54	3	-60
28	-4.5	3	0.54	0	0
29	-3.5	3	0.54	0	0
30	-2.5	3	0.54	0	0
31	-1.5	3	0.54	0	0
32	-0.5	3	0.54	0	0
33	+0.5	3	0.54	0	0
34	+1.5	3	0.54	0	0
35	+2.5	3	0.54	0	0
36	+3.5	3	0.54	0	0
37	+4.5	3	0.54	0	0
38	+5.5	3	0.54	3	300
39	+0	2	0.25	5	0
40	-5	2	0.54	0	0
41	-4	2	0.54	0	0
42	-3	2	0.54	0	0
43	-2	2	0.54	0	0
44	-1	2	0.54	0	0
45	+0	2	0.54	4	0
46	+1	2	0.54	0	0
47	+2	2	0.54	0	0
48	+3	2	0.54	0	0
49	+4	2	0.54	0	0
50	+5	2	0.54	0	0
51	-5.5	1	0.54	2	180
52	-4.5	1	0.54	0	0
53	-3.5	1	0.54	0	0
54	-2.5	1	0.54	0	0
55	-1.5	1	0.54	0	0
56	-0.5	1	0.54	0	0
57	+0.5	1	0.54	0	0
58	+1.5	1	0.54	0	0
59	+2.5	1	0.54	0	0
60	+3.5	1	0.54	0	0
61	+4.5	1	0.54	0	0
62	+5.5	1	0.54	2	0
63	-5	0	0.54	0	0
64	-4	0	0.54	0	0
65	-3	0	0.54	0	0
66	-2	0	0.54	0	0
67	-1	0	0.54	0	0
68	+0	0	0.54	0	0
69	+1	0	0.54	0	0
70	+2	0	0.54	0	0
71	+3	0	0.54	0	0
72	+4	0	0.54	0	0
73	+5	0	0.54	0	0
74	-5.5	-1	0.54	2	180
75	-4.5	-1	0.54	0	0
76	-3.5	-1	0.54	0	0
77	-2.5	-1	0.54	0	0
78	-1.5	-1	0.54	0	0
79	-0.5	-1	0.54	0	0
80	+0.5	-1	0.54	0	0
81	+1.5	-1	0.54	0	0
82	+2.5	-1	0.54	0	0
83	+3.5	-1	0.54	0	0
84	+4.5	-1	0.54	0	0
85	+5.5	-1	0.54	2	0
86	-5	-2	0.54	0	0
87	-4	-2	0.54	0	0
88	-3	-2	0.54	0	0
89	-2	-2	0.54	0	0
90	-1	-2	0.54	0	0
91	+0	-2	0.54	0	0
92	+1	-2	0.54	0	0
93	+2	-2	0.54	0	0
94	+3	-2	0.54	0	0
95	+4	-2	0.54	0	0
96	+5	-2	0.54	0	0
97	-5.5	-3	0.54	3	120
98	-4.5	-3	0.54	0	0
99	-3.5	-3	0.54	0	0
100	-2.5	-3	0.54	0	0
101	-1.5	-3	0.54	0	0
102	-0.5	-3	0.54	0	0
103	+0.5	-3	0.54	0	0
104	+1.5	-3	0.54	0	0
105	+2.5	-3	0.54	0	0
106	+3.5	-3	0.54	0	0
107	+4.5	-3	0.54	0	0
108	+5.5	-3	0.54	3	-240
109	-5	-4	0.54	3	-120
110	-4	-4	0.54	0	0
111	-3	-4	0.54	0	0
112	-2	-4	0.54	0	0
113	-1	-4	0.54	0	0
114	+0	-4	0.54	4	0
115	+1	-4	0.54	0	0
116	+2	-4	0.54	0	0
117	+3	-4	0.54	0	0
118	+4	-4	0.54	0	0
119	+5	-4	0.54	3	240
120	+0	-4	0.25	5	0
121	-3.5	-5	0.54	2	240
122	-2.5	-5	0.54	0	0
123	-1.5	-5	0.54	0	0
124	-0.5	-5	0.54	0	0
125	+0.5	-5	0.54	0	0
126	+1.5	-5	0.54	0	0
127	+2.5	-5	0.54	0	0
128	+3.5	-5	0.54	2	300
129	-2	-6	0.54	2	240
130	-1	-6	0.54	0	0
131	+0	-6	0.54	0	0
132	+1	-6	0.54	0	0
133	+2	-6	0.54	2	300
134	-0.5	-7	0.54	3	180
135	+0.5	-7	0.54	3	-180
136	0	0	13 	1	0
137	+6	-5	0.2 	6	0
138	+6	-5.5	0.2 	7	0
139	+6	-6	0.2 	8	0
140	+6	-6.5	0.2 	9	0
