#
#THIS IS THE GROMETRY FILE FOR THE HEAGONAL HGCAL WAFER
#
# HPK 8 inch 256 pads
#
#padnumber	position	yposition	size	type	rotation

1	-1.05	6.39	0.35	2	120
2	-0.35	6.39	0.35	11	0
3	0.35	6.39	0.35	11	0
4	1.05	6.39	0.35	2	60
5	-2.1	5.68	0.35	2	120
6	-1.4	5.68	0.35	0	0
7	-0.7	5.68	0.35	0	0
8	0.0	5.68	0.35	4	0
9	0.7	5.68	0.35	0	0
10	1.4	5.68	0.35	0	0
11	2.1	5.68	0.35	2	60
12	-3.15	4.97	0.35	2	120
13	-2.45	4.97	0.35	0	0
14	-1.75	4.97	0.35	0	0
15	-1.05	4.97	0.35	0	0
16	-0.35	4.97	0.35	0	0
17	0.35	4.97	0.35	0	0
18	1.05	4.97	0.35	0	0
19	1.75	4.97	0.35	0	0
20	2.45	4.97	0.35	0	0
21	3.15	4.97	0.35	2	60
22	-4.2	4.26	0.35	2	120
23	-3.5	4.26	0.35	0	0
24	-2.8	4.26	0.35	0	0
25	-2.1	4.26	0.35	0	0
26	-1.4	4.26	0.35	0	0
27	-0.7	4.26	0.35	0	0
28	0.0	4.26	0.35	0	0
29	0.7	4.26	0.35	0	0
30	1.4	4.26	0.35	0	0
31	2.1	4.26	0.35	0	0
32	2.8	4.26	0.35	0	0
33	3.5	4.26	0.35	0	0
34	4.2	4.26	0.35	2	60
35	-4.55	3.55	0.35	11	60
36	-3.85	3.55	0.35	0	0
37	-3.15	3.55	0.35	0	0
38	-2.45	3.55	0.35	0	0
39	-1.75	3.55	0.35	0	0
40	-1.05	3.55	0.35	0	0
41	-0.35	3.55	0.35	0	0
42	0.35	3.55	0.35	0	0
43	1.05	3.55	0.35	0	0
44	1.75	3.55	0.35	0	0
45	2.45	3.55	0.35	0	0
46	3.15	3.55	0.35	0	0
47	3.85	3.55	0.35	0	0
48	4.55	3.55	0.35	11	300
49	-4.9	2.84	0.35	11	60
50	-4.2	2.84	0.35	0	0
51	-3.5	2.84	0.35	0	0
52	-2.8	2.84	0.35	10	0
53	-2.1	2.84	0.35	10	0
54	-1.4	2.84	0.35	10	0
55	-0.7	2.84	0.35	10	0
56	0.0	2.84	0.35	4	0
57	0.7	2.84	0.35	10	0
58	1.4	2.84	0.35	10	0
59	2.1	2.84	0.35	10	0
60	2.8	2.84	0.35	10	0
61	3.5	2.84	0.35	0	0
62	4.2	2.84	0.35	0	0
63	4.9	2.84	0.35	11	300
64	-5.25	2.13	0.35	2	180
65	-4.55	2.13	0.35	0	0
66	-3.85	2.13	0.35	0	0
67	-3.15	2.13	0.35	0	0
68	-2.45	2.13	0.35	10	180
69	-1.75	2.13	0.35	10	180
70	-1.05	2.13	0.35	10	180
71	-0.35	2.13	0.35	0	0
72	0.35	2.13	0.35	0	0
73	1.05	2.13	0.35	10	180
74	1.75	2.13	0.35	10	180
75	2.45	2.13	0.35	10	180
76	3.15	2.13	0.35	0	0
77	3.85	2.13	0.35	0	0
78	4.55	2.13	0.35	0	0
79	5.25	2.13	0.35	2	0
80	-4.9	1.42	0.35	0	0
81	-4.2	1.42	0.35	0	0
82	-3.5	1.42	0.35	0	0
83	-2.8	1.42	0.35	0	0
84	-2.1	1.42	0.35	0	0
85	-1.4	1.42	0.35	0	0
86	-0.7	1.42	0.35	0	0
87	0.0	1.42	0.35	0	0
88	0.7	1.42	0.35	0	0
89	1.4	1.42	0.35	0	0
90	2.1	1.42	0.35	0	0
91	2.8	1.42	0.35	0	0
92	3.5	1.42	0.35	0	0
93	4.2	1.42	0.35	0	0
94	4.9	1.42	0.35	0	0
95	-5.25	0.71	0.35	2	180
96	-4.55	0.71	0.35	0	0
97	-3.85	0.71	0.35	0	0
98	-3.15	0.71	0.35	0	0
99	-2.45	0.71	0.35	0	0
100	-1.75	0.71	0.35	0	0
101	-1.05	0.71	0.35	0	0
102	-0.35	0.71	0.35	0	0
103	0.35	0.71	0.35	0	0
104	1.05	0.71	0.35	0	0
105	1.75	0.71	0.35	0	0
106	2.45	0.71	0.35	0	0
107	3.15	0.71	0.35	0	0
108	3.85	0.71	0.35	0	0
109	4.55	0.71	0.35	0	0
110	5.25	0.71	0.35	2	0
111	-4.9	0.00	0.35	0	0
112	-4.2	0.00	0.35	0	0
113	-3.5	0.00	0.35	0	0
114	-2.8	0.00	0.35	0	0
115	-2.1	0.00	0.35	0	0
116	-1.4	0.00	0.35	0	0
117	-0.7	0.00	0.35	0	0
118	0.0	0.00	0.35	4	0
119	0.7	0.00	0.35	0	0
120	1.4	0.00	0.35	0	0
121	2.1	0.00	0.35	0	0
122	2.8	0.00	0.35	0	0
123	3.5	0.00	0.35	0	0
124	4.2	0.00	0.35	0	0
125	4.9	0.00	0.35	0	0
126	-5.25	-0.71	0.35	2	180
127	-4.55	-0.71	0.35	0	0
128	-3.85	-0.71	0.35	0	0
129	-3.15	-0.71	0.35	0	0
130	-2.45	-0.71	0.35	0	0
131	-1.75	-0.71	0.35	0	0
132	-1.05	-0.71	0.35	0	0
133	-0.35	-0.71	0.35	0	0
134	0.35	-0.71	0.35	0	0
135	1.05	-0.71	0.35	0	0
136	1.75	-0.71	0.35	0	0
137	2.45	-0.71	0.35	0	0
138	3.15	-0.71	0.35	0	0
139	3.85	-0.71	0.35	0	0
140	4.55	-0.71	0.35	0	0
141	5.25	-0.71	0.35	2	0
142	-4.9	-1.42	0.35	0	0
143	-4.2	-1.42	0.35	0	0
144	-3.5	-1.42	0.35	0	0
145	-2.8	-1.42	0.35	0	0
146	-2.1	-1.42	0.35	0	0
147	-1.4	-1.42	0.35	0	0
148	-0.7	-1.42	0.35	0	0
149	0.0	-1.42	0.35	0	0
150	0.7	-1.42	0.35	0	0
151	1.4	-1.42	0.35	0	0
152	2.1	-1.42	0.35	0	0
153	2.8	-1.42	0.35	0	0
154	3.5	-1.42	0.35	0	0
155	4.2	-1.42	0.35	0	0
156	4.9	-1.42	0.35	0	0
157	-5.25	-2.13	0.35	2	180
158	-4.55	-2.13	0.35	0	0
159	-3.85	-2.13	0.35	0	0
160	-3.15	-2.13	0.35	0	0
161	-2.45	-2.13	0.35	10	0
162	-1.75	-2.13	0.35	10	0
163	-1.05	-2.13	0.35	10	0
164	-0.35	-2.13	0.35	0	0
165	0.35	-2.13	0.35	0	0
166	1.05	-2.13	0.35	10	0
167	1.75	-2.13	0.35	10	0
168	2.45	-2.13	0.35	10	0
169	3.15	-2.13	0.35	0	0
170	3.85	-2.13	0.35	0	0
171	4.55	-2.13	0.35	0	0
172	5.25	-2.13	0.35	2	0
173	-4.9	-2.84	0.35	11	120
174	-4.2	-2.84	0.35	0	0
175	-3.5	-2.84	0.35	0	0
176	-2.8	-2.84	0.35	10	180
177	-2.1	-2.84	0.35	10	180
178	-1.4	-2.84	0.35	10	180
179	-0.7	-2.84	0.35	10	180
180	0.0	-2.84	0.35	0	0
181	0.7	-2.84	0.35	10	180
182	1.4	-2.84	0.35	10	180
183	2.1	-2.84	0.35	10	180
184	2.8	-2.84	0.35	10	180
185	3.5	-2.84	0.35	0	0
186	4.2	-2.84	0.35	0	0
187	4.9	-2.84	0.35	11	240
188	-4.55	-3.55	0.35	11	120
189	-3.85	-3.55	0.35	0	0
190	-3.15	-3.55	0.35	0	0
191	-2.45	-3.55	0.35	0	0
192	-1.75	-3.55	0.35	0	0
193	-1.05	-3.55	0.35	0	0
194	-0.35	-3.55	0.35	0	0
195	0.35	-3.55	0.35	0	0
196	1.05	-3.55	0.35	0	0
197	1.75	-3.55	0.35	0	0
198	2.45	-3.55	0.35	0	0
199	3.15	-3.55	0.35	0	0
200	3.85	-3.55	0.35	0	0
201	4.55	-3.55	0.35	11	240
202	-4.2	-4.26	0.35	2	240
203	-3.5	-4.26	0.35	0	0
204	-2.8	-4.26	0.35	0	0
205	-2.1	-4.26	0.35	0	0
206	-1.4	-4.26	0.35	0	0
207	-0.7	-4.26	0.35	0	0
208	0.0	-4.26	0.35	4	0
209	0.7	-4.26	0.35	0	0
210	1.4	-4.26	0.35	0	0
211	2.1	-4.26	0.35	0	0
212	2.8	-4.26	0.35	0	0
213	3.5	-4.26	0.35	0	0
214	4.2	-4.26	0.35	2	300
215	-3.15	-4.97	0.35	2	240
216	-2.45	-4.97	0.35	0	0
217	-1.75	-4.97	0.35	0	0
218	-1.05	-4.97	0.35	0	0
219	-0.35	-4.97	0.35	0	0
220	0.35	-4.97	0.35	0	0
221	1.05	-4.97	0.35	0	0
222	1.75	-4.97	0.35	0	0
223	2.45	-4.97	0.35	0	0
224	3.15	-4.97	0.35	2	300
225	-2.1	-5.68	0.35	2	240
226	-1.4	-5.68	0.35	0	0
227	-0.7	-5.68	0.35	0	0
228	0.0	-5.68	0.35	0	0
229	0.7	-5.68	0.35	0	0
230	1.4	-5.68	0.35	0	0
231	2.1	-5.68	0.35	2	300
232	-1.05	-6.39	0.35	2	240
233	-0.35	-6.39	0.35	11	180
234	0.35	-6.39	0.35	11	180
235	1.05	-6.39	0.35	2	300
236	0.0	5.68	0.18	5	0
237	0.0	2.84	0.18	5	0
238	0.0	0.00	0.18	5	0
239	0.0	-4.26	0.18	5	0
240	0	0	6.35 	1	0
