#Measurement:	CV
#Sensor type:	Diode
#Identifier:	W311-D1_10s
#Timestamp:	16.1.2017 14:38 
#Voltage delay:	10.0 s
#Switch delay:	0.0 s
#Compliance level:	100.00 uA
#Voltage limit:	1000.0 V
#Source as DMM:	0
#Single channel:	1

#Voltage	#Channel	#Capacitance	#Tot. curr.	#Act. vlt.	#Time	#C_serial	#Impedance	#Phase
#[V]      	#           	#[pF]           	#[nA]          	#[V]          	#[s]  	#[pF]      	#[Ohm]      	#[Rad]
0.0	1	1.0734E+4	-1.6734E+3	0.00	11.041	1.7044E+4	1.1767E+4	-9.1671E-1
2.0	1	1.4928E+3	1.7326E+1	2.00	23.466	1.4928E+3	1.0661E+5	-1.5691E+0
5.0	1	1.1668E+3	3.9268E+1	5.00	36.069	1.1668E+3	1.3640E+5	-1.5690E+0
10.0	1	9.8040E+2	8.9144E+1	10.00	47.925	9.8041E+2	1.6234E+5	-1.5679E+0
20.0	1	8.3573E+2	2.1609E+2	20.00	59.795	8.3573E+2	1.9044E+5	-1.5694E+0
30.0	1	7.7964E+2	3.5978E+2	30.00	71.626	7.7965E+2	2.0414E+5	-1.5690E+0
40.0	1	7.4338E+2	5.1757E+2	40.00	83.497	7.4338E+2	2.1410E+5	-1.5689E+0
50.0	1	7.1862E+2	6.8910E+2	50.00	95.355	7.1862E+2	2.2147E+5	-1.5689E+0
70.0	1	6.8483E+2	1.0834E+3	70.00	107.205	6.8483E+2	2.3240E+5	-1.5681E+0
100.0	1	6.5731E+2	2.8462E+3	100.00	120.231	6.5732E+2	2.4213E+5	-1.5687E+0
150.0	1	6.3012E+2	7.7322E+3	150.00	132.130	6.3012E+2	2.5258E+5	-1.5686E+0
200.0	1	5.8067E+2	8.7600E+4	200.00	144.067	5.8071E+2	2.7408E+5	-1.5625E+0
250.0	1	6.0363E+2	2.5394E+4	250.00	156.626	6.0363E+2	2.6366E+5	-1.5687E+0
300.0	1	5.9829E+2	3.6208E+4	300.00	179.957	5.9829E+2	2.6602E+5	-1.5687E+0
