#Measurement:	CV
#Sensor type:	Diode
#Identifier:	W311-D1_2s_135channels
#Timestamp:	25.11.2016 17:14 

#Voltage	#Channel	#Capacity [F]
50.0	1	6.077E-11
50.0	2	5.973E-11
50.0	3	5.903E-11
50.0	4	5.855E-11
50.0	5	5.820E-11
50.0	6	5.792E-11
50.0	7	5.771E-11
50.0	8	5.753E-11
50.0	9	5.738E-11
50.0	10	5.725E-11
50.0	11	5.713E-11
50.0	12	5.705E-11
50.0	13	5.698E-11
50.0	14	5.691E-11
50.0	15	5.686E-11
50.0	16	5.681E-11
50.0	17	5.676E-11
50.0	18	5.672E-11
50.0	19	5.668E-11
50.0	20	5.665E-11
50.0	21	5.662E-11
50.0	22	5.659E-11
50.0	23	5.656E-11
50.0	24	5.654E-11
50.0	25	5.652E-11
50.0	26	5.650E-11
50.0	27	5.648E-11
50.0	28	5.646E-11
50.0	29	5.644E-11
50.0	30	5.643E-11
50.0	31	5.641E-11
50.0	32	5.640E-11
50.0	33	5.639E-11
50.0	34	5.638E-11
50.0	35	5.637E-11
50.0	36	5.636E-11
50.0	37	5.635E-11
50.0	38	5.634E-11
50.0	39	5.633E-11
50.0	40	5.632E-11
50.0	41	5.632E-11
50.0	42	5.631E-11
50.0	43	5.630E-11
50.0	44	5.630E-11
50.0	45	5.629E-11
50.0	46	5.629E-11
50.0	47	5.628E-11
50.0	48	5.628E-11
50.0	49	5.627E-11
50.0	50	5.627E-11
50.0	51	5.626E-11
50.0	52	5.626E-11
50.0	53	5.626E-11
50.0	54	5.625E-11
50.0	55	5.625E-11
50.0	56	5.625E-11
50.0	57	5.624E-11
50.0	58	5.624E-11
50.0	59	5.624E-11
50.0	60	5.624E-11
50.0	61	5.623E-11
50.0	62	5.623E-11
50.0	63	5.623E-11
50.0	64	5.623E-11
50.0	65	5.623E-11
50.0	66	5.623E-11
50.0	67	5.622E-11
50.0	68	5.622E-11
50.0	69	5.622E-11
50.0	70	5.622E-11
50.0	71	5.622E-11
50.0	72	5.622E-11
50.0	73	5.622E-11
50.0	74	5.622E-11
50.0	75	5.621E-11
50.0	76	5.621E-11
50.0	77	5.621E-11
50.0	78	5.621E-11
50.0	79	5.621E-11
50.0	80	5.621E-11
50.0	81	5.621E-11
50.0	82	5.621E-11
50.0	83	5.621E-11
50.0	84	5.621E-11
50.0	85	5.621E-11
50.0	86	5.621E-11
50.0	87	5.621E-11
50.0	88	5.620E-11
50.0	89	5.620E-11
50.0	90	5.620E-11
50.0	91	5.620E-11
50.0	92	5.620E-11
50.0	93	5.620E-11
50.0	94	5.620E-11
50.0	95	5.620E-11
50.0	96	5.620E-11
50.0	97	5.620E-11
50.0	98	5.620E-11
50.0	99	5.620E-11
50.0	100	5.620E-11
50.0	101	5.620E-11
50.0	102	5.620E-11
50.0	103	5.620E-11
50.0	104	5.620E-11
50.0	105	5.620E-11
50.0	106	5.620E-11
50.0	107	5.620E-11
50.0	108	5.620E-11
50.0	109	5.620E-11
50.0	110	5.620E-11
50.0	111	5.620E-11
50.0	112	5.620E-11
50.0	113	5.620E-11
50.0	114	5.620E-11
50.0	115	5.620E-11
50.0	116	5.620E-11
50.0	117	5.620E-11
50.0	118	5.619E-11
50.0	119	5.619E-11
50.0	120	5.619E-11
50.0	121	5.619E-11
50.0	122	5.619E-11
50.0	123	5.619E-11
50.0	124	5.619E-11
50.0	125	5.619E-11
50.0	126	5.619E-11
50.0	127	5.619E-11
50.0	128	5.619E-11
50.0	129	5.619E-11
50.0	130	5.619E-11
50.0	131	5.619E-11
50.0	132	5.619E-11
50.0	133	5.619E-11
50.0	134	5.619E-11
50.0	135	5.619E-11
