#Measurement:	CV
#Sensor type:	Diode
#Identifier:	W311-D1_2s_135channels
#Timestamp:	25.11.2016 16:45 

#Voltage	#Channel	#Capacity [F]
50.0	1	5.805E-11
50.0	2	5.784E-11
50.0	3	5.767E-11
50.0	4	5.752E-11
50.0	5	5.739E-11
50.0	6	5.726E-11
50.0	7	5.718E-11
50.0	8	5.710E-11
50.0	9	5.704E-11
50.0	10	5.699E-11
50.0	11	5.694E-11
50.0	12	5.689E-11
50.0	13	5.685E-11
50.0	14	5.681E-11
50.0	15	5.678E-11
50.0	16	5.674E-11
50.0	17	5.671E-11
50.0	18	5.669E-11
50.0	19	5.666E-11
50.0	20	5.664E-11
50.0	21	5.662E-11
50.0	22	5.660E-11
50.0	23	5.658E-11
50.0	24	5.656E-11
50.0	25	5.655E-11
50.0	26	5.653E-11
50.0	27	5.652E-11
50.0	28	5.651E-11
50.0	29	5.650E-11
50.0	30	5.649E-11
50.0	31	5.648E-11
50.0	32	5.647E-11
50.0	33	5.646E-11
50.0	34	5.645E-11
50.0	35	5.644E-11
50.0	36	5.644E-11
50.0	37	5.643E-11
50.0	38	5.642E-11
50.0	39	5.642E-11
50.0	40	5.641E-11
50.0	41	5.641E-11
50.0	42	5.640E-11
50.0	43	5.640E-11
50.0	44	5.639E-11
50.0	45	5.639E-11
50.0	46	5.639E-11
50.0	47	5.638E-11
50.0	48	5.638E-11
50.0	49	5.638E-11
50.0	50	5.637E-11
50.0	51	5.637E-11
50.0	52	5.637E-11
50.0	53	5.637E-11
50.0	54	5.636E-11
50.0	55	5.636E-11
50.0	56	5.636E-11
50.0	57	5.636E-11
50.0	58	5.636E-11
50.0	59	5.635E-11
50.0	60	5.635E-11
50.0	61	5.635E-11
50.0	62	5.635E-11
50.0	63	5.635E-11
50.0	64	5.635E-11
50.0	65	5.635E-11
50.0	66	5.635E-11
50.0	67	5.634E-11
50.0	68	5.634E-11
50.0	69	5.634E-11
50.0	70	5.634E-11
50.0	71	5.634E-11
50.0	72	5.634E-11
50.0	73	5.634E-11
50.0	74	5.634E-11
50.0	75	5.634E-11
50.0	76	5.634E-11
50.0	77	5.634E-11
50.0	78	5.633E-11
50.0	79	5.633E-11
50.0	80	5.633E-11
50.0	81	5.633E-11
50.0	82	5.633E-11
50.0	83	5.633E-11
50.0	84	5.633E-11
50.0	85	5.633E-11
50.0	86	5.633E-11
50.0	87	5.633E-11
50.0	88	5.633E-11
50.0	89	5.633E-11
50.0	90	5.633E-11
50.0	91	5.633E-11
50.0	92	5.633E-11
50.0	93	5.633E-11
50.0	94	5.633E-11
50.0	95	5.633E-11
50.0	96	5.633E-11
50.0	97	5.633E-11
50.0	98	5.633E-11
50.0	99	5.633E-11
50.0	100	5.633E-11
50.0	101	5.633E-11
50.0	102	5.633E-11
50.0	103	5.633E-11
50.0	104	5.633E-11
50.0	105	5.633E-11
50.0	106	5.633E-11
50.0	107	5.633E-11
50.0	108	5.633E-11
50.0	109	5.633E-11
50.0	110	5.633E-11
50.0	111	5.633E-11
50.0	112	5.633E-11
50.0	113	5.633E-11
50.0	114	5.633E-11
50.0	115	5.633E-11
50.0	116	5.633E-11
50.0	117	5.632E-11
50.0	118	5.633E-11
50.0	119	5.632E-11
50.0	120	5.632E-11
50.0	121	5.632E-11
50.0	122	5.632E-11
50.0	123	5.632E-11
50.0	124	5.632E-11
50.0	125	5.632E-11
50.0	126	5.632E-11
50.0	127	5.632E-11
50.0	128	5.632E-11
50.0	129	5.632E-11
50.0	130	5.632E-11
50.0	131	5.632E-11
50.0	132	5.632E-11
50.0	133	5.632E-11
50.0	134	5.632E-11
50.0	135	5.632E-11
