#Measurement:	IV
#Sensor type:	Diode
#Identifier:	W311-D1_2s_135channels
#Timestamp:	25.11.2016 17:34 

#Voltage	#Channel	#Current [A]
50.0	1	-4.433E-7
50.0	2	-4.979E-7
50.0	3	-4.160E-7
50.0	4	-3.139E-7
50.0	5	-2.159E-7
50.0	6	-1.302E-7
50.0	7	-5.979E-8
50.0	8	-1.198E-8
50.0	9	1.212E-9
50.0	10	1.409E-9
50.0	11	1.374E-9
50.0	12	1.349E-9
50.0	13	1.300E-9
50.0	14	1.311E-9
50.0	15	1.267E-9
50.0	16	1.199E-9
50.0	17	1.247E-9
50.0	18	1.200E-9
50.0	19	1.153E-9
50.0	20	1.159E-9
50.0	21	1.129E-9
50.0	22	1.081E-9
50.0	23	1.080E-9
50.0	24	1.094E-9
50.0	25	1.077E-9
50.0	26	1.035E-9
50.0	27	1.034E-9
50.0	28	1.031E-9
50.0	29	9.824E-10
50.0	30	9.842E-10
50.0	31	1.010E-9
50.0	32	9.591E-10
50.0	33	9.853E-10
50.0	34	9.219E-10
50.0	35	9.411E-10
50.0	36	9.504E-10
50.0	37	8.718E-10
50.0	38	8.933E-10
50.0	39	9.061E-10
50.0	40	9.242E-10
50.0	41	9.108E-10
50.0	42	9.044E-10
50.0	43	8.520E-10
50.0	44	8.642E-10
50.0	45	8.560E-10
50.0	46	8.228E-10
50.0	47	9.009E-10
50.0	48	8.450E-10
50.0	49	8.543E-10
50.0	50	8.479E-10
50.0	51	8.828E-10
50.0	52	8.240E-10
50.0	53	8.758E-10
50.0	54	8.566E-10
50.0	55	8.613E-10
50.0	56	8.479E-10
50.0	57	8.671E-10
50.0	58	8.024E-10
50.0	59	8.496E-10
50.0	60	8.770E-10
50.0	61	8.537E-10
50.0	62	8.234E-10
50.0	63	7.757E-10
50.0	64	8.356E-10
50.0	65	8.123E-10
50.0	66	8.246E-10
50.0	67	8.525E-10
50.0	68	8.153E-10
50.0	69	8.141E-10
50.0	70	8.147E-10
50.0	71	8.316E-10
50.0	72	8.391E-10
50.0	73	8.217E-10
50.0	74	8.257E-10
50.0	75	8.217E-10
50.0	76	7.966E-10
50.0	77	8.380E-10
50.0	78	8.257E-10
50.0	79	8.345E-10
50.0	80	8.455E-10
50.0	81	8.496E-10
50.0	82	8.083E-10
50.0	83	8.240E-10
50.0	84	8.164E-10
50.0	85	7.902E-10
50.0	86	7.995E-10
50.0	87	7.657E-10
50.0	88	8.269E-10
50.0	89	8.316E-10
50.0	90	8.531E-10
50.0	91	8.042E-10
50.0	92	8.030E-10
50.0	93	8.455E-10
50.0	94	8.496E-10
50.0	95	7.931E-10
50.0	96	7.966E-10
50.0	97	8.327E-10
50.0	98	8.456E-10
50.0	99	7.896E-10
50.0	100	8.030E-10
50.0	101	8.525E-10
50.0	102	8.013E-10
50.0	103	8.106E-10
50.0	104	8.123E-10
50.0	105	8.077E-10
50.0	106	8.199E-10
50.0	107	8.071E-10
50.0	108	8.461E-10
50.0	109	8.118E-10
50.0	110	8.141E-10
50.0	111	8.316E-10
50.0	112	8.345E-10
50.0	113	8.129E-10
50.0	114	8.024E-10
50.0	115	8.479E-10
50.0	116	7.966E-10
50.0	117	8.135E-10
50.0	118	8.292E-10
50.0	119	8.281E-10
50.0	120	8.240E-10
50.0	121	8.281E-10
50.0	122	8.077E-10
50.0	123	8.182E-10
