#Measurement:	IV
#Sensor type:	Diode
#Identifier:	W311-D1_2s_135channels
#Timestamp:	25.11.2016 17:27 

#Voltage	#Channel	#Current [A]
50.0	1	1.136E-9
50.0	2	9.883E-10
50.0	3	9.219E-10
50.0	4	8.694E-10
50.0	5	8.636E-10
50.0	6	8.368E-10
50.0	7	8.351E-10
50.0	8	8.333E-10
50.0	9	8.176E-10
50.0	10	8.234E-10
50.0	11	8.123E-10
50.0	12	8.403E-10
50.0	13	8.246E-10
50.0	14	8.158E-10
50.0	15	8.170E-10
50.0	16	8.094E-10
50.0	17	8.234E-10
50.0	18	8.217E-10
50.0	19	8.182E-10
50.0	20	8.188E-10
50.0	21	8.147E-10
50.0	22	8.077E-10
50.0	23	7.943E-10
50.0	24	8.065E-10
50.0	25	8.141E-10
50.0	26	7.931E-10
50.0	27	8.054E-10
50.0	28	7.960E-10
50.0	29	7.960E-10
50.0	30	7.995E-10
50.0	31	7.995E-10
50.0	32	8.024E-10
50.0	33	7.914E-10
50.0	34	7.931E-10
50.0	35	7.937E-10
50.0	36	7.815E-10
50.0	37	7.809E-10
50.0	38	7.821E-10
50.0	39	7.844E-10
50.0	40	7.844E-10
50.0	41	7.657E-10
50.0	42	7.844E-10
50.0	43	7.826E-10
50.0	44	7.786E-10
50.0	45	7.669E-10
50.0	46	7.832E-10
50.0	47	7.692E-10
50.0	48	7.757E-10
50.0	49	7.692E-10
50.0	50	7.850E-10
50.0	51	7.791E-10
50.0	52	7.821E-10
50.0	53	7.780E-10
50.0	54	7.850E-10
50.0	55	7.873E-10
50.0	56	7.739E-10
50.0	57	7.716E-10
50.0	58	7.751E-10
50.0	59	7.920E-10
50.0	60	7.687E-10
50.0	61	7.885E-10
50.0	62	7.768E-10
50.0	63	7.710E-10
50.0	64	7.838E-10
50.0	65	7.780E-10
50.0	66	7.716E-10
50.0	67	7.774E-10
50.0	68	7.745E-10
50.0	69	7.675E-10
50.0	70	7.786E-10
50.0	71	7.879E-10
50.0	72	7.873E-10
50.0	73	7.716E-10
50.0	74	7.890E-10
50.0	75	7.879E-10
50.0	76	7.873E-10
50.0	77	7.838E-10
50.0	78	8.001E-10
50.0	79	7.856E-10
50.0	80	7.856E-10
50.0	81	7.832E-10
50.0	82	7.873E-10
50.0	83	7.844E-10
50.0	84	7.774E-10
50.0	85	7.856E-10
50.0	86	7.879E-10
50.0	87	7.856E-10
50.0	88	7.844E-10
50.0	89	7.739E-10
50.0	90	7.698E-10
50.0	91	7.902E-10
50.0	92	7.809E-10
50.0	93	7.774E-10
50.0	94	7.727E-10
50.0	95	7.856E-10
50.0	96	7.786E-10
50.0	97	7.786E-10
50.0	98	7.826E-10
50.0	99	7.681E-10
50.0	100	7.605E-10
50.0	101	7.722E-10
50.0	102	7.692E-10
50.0	103	7.885E-10
50.0	104	7.751E-10
50.0	105	7.675E-10
50.0	106	7.809E-10
50.0	107	7.768E-10
50.0	108	7.838E-10
50.0	109	7.931E-10
50.0	110	7.681E-10
50.0	111	7.634E-10
50.0	112	7.733E-10
50.0	113	7.908E-10
50.0	114	7.791E-10
50.0	115	7.873E-10
50.0	116	7.727E-10
50.0	117	7.838E-10
50.0	118	7.698E-10
50.0	119	7.873E-10
50.0	120	7.722E-10
50.0	121	7.856E-10
50.0	122	7.826E-10
50.0	123	7.914E-10
50.0	124	7.803E-10
50.0	125	7.949E-10
50.0	126	7.797E-10
50.0	127	7.931E-10
50.0	128	7.867E-10
50.0	129	7.966E-10
50.0	130	7.850E-10
50.0	131	7.885E-10
50.0	132	7.955E-10
50.0	133	8.042E-10
50.0	134	7.838E-10
50.0	135	8.624E-10
